id;userProfilePK;calendarDate;sleepTimeSeconds;napTimeSeconds;sleepWindowConfirmed;sleepWindowConfirmationType;sleepStartTimestampGMT;sleepEndTimestampGMT;sleepStartTimestampLocal;sleepEndTimestampLocal;autoSleepStartTimestampGMT;autoSleepEndTimestampGMT;sleepQualityTypePK;sleepResultTypePK;unmeasurableSleepSeconds;deepSleepSeconds;lightSleepSeconds;remSleepSeconds;awakeSleepSeconds;deviceRemCapable;retro
1621455240000;4405865;2021-05-20;27600;0;true;enhanced_confirmed_final;1621455240000;1621482900000;1621462440000;1621490100000;1621452120000;1621480860000;;;0;2280;17340;7980;60;true;false
1621545360000;4405865;2021-05-21;25620;0;true;enhanced_confirmed_final;1621545360000;1621571220000;1621552560000;1621578420000;1621544880000;1621574160000;;;0;4740;15240;5640;240;true;false
1621630980000;4405865;2021-05-22;26760;0;true;enhanced_confirmed_final;1621630980000;1621658940000;1621638180000;1621666140000;1621630440000;1621656960000;;;0;1620;17280;7860;1200;true;false
1621711020000;4405865;2021-05-23;30060;0;true;auto_confirmed_final;1621711020000;1621741260000;1621718220000;1621748460000;1621711020000;1621741260000;;;0;18060;12000;0;180;true;false
1621806180000;4405865;2021-05-24;28980;0;true;enhanced_confirmed_final;1621806180000;1621836060000;1621813380000;1621843260000;1621803600000;1621835760000;;;0;1680;21780;5520;900;true;false
1621889220000;4405865;2021-05-25;27720;0;true;manually_confirmed;1621889220000;1621917000000;1621896420000;1621924200000;1621888380000;1621916760000;;;0;3060;14280;10380;60;true;false
1621976040000;4405865;2021-05-26;25140;0;true;manually_confirmed;1621976040000;1622001300000;1621983240000;1622008500000;1621976520000;1621999860000;;;0;2580;14520;8040;120;true;false
1622063700000;4405865;2021-05-27;21900;0;true;enhanced_confirmed;1622063700000;1622088000000;1622070900000;1622095200000;1622056920000;1622080860000;;;0;3180;15600;3120;2400;true;false
1622152980000;4405865;2021-05-28;22140;0;true;enhanced_confirmed;1622152980000;1622175120000;1622160180000;1622182320000;1622143620000;1622178060000;;;0;2820;10980;8340;0;true;false
1622236380000;4405865;2021-05-29;23280;0;true;enhanced_confirmed;1622236380000;1622259780000;1622243580000;1622266980000;1622228640000;1622260800000;;;0;1980;13080;8220;120;true;false
1622318220000;4405865;2021-05-30;38340;0;false;off_wrist;1622318220000;1622356560000;1622325420000;1622363760000;;;;;0;0;0;0;0;true;false
1622408280000;4405865;2021-05-31;30780;0;true;enhanced_confirmed;1622408280000;1622439120000;1622415480000;1622446320000;1622407200000;1622438640000;;;0;2820;17880;10080;60;true;false
1622495460000;4405865;2021-06-01;29100;0;true;enhanced_confirmed;1622495460000;1622525040000;1622502660000;1622532240000;1622495220000;1622537160000;;;0;3180;17460;8460;480;true;false
1622583180000;4405865;2021-06-02;25500;0;true;enhanced_confirmed_final;1622583180000;1622609340000;1622590380000;1622616540000;1622582340000;1622601120000;;;0;660;20100;4740;660;true;false
1622665140000;4405865;2021-06-03;38100;0;false;off_wrist;1622665140000;1622703240000;1622672340000;1622710440000;;;;;0;0;0;0;0;true;false
1622757000000;4405865;2021-06-04;26880;0;true;enhanced_confirmed;1622757000000;1622784900000;1622764200000;1622792100000;1622760540000;1622796360000;;;0;2520;17100;7260;1020;true;false
1622850600000;4405865;2021-06-05;24060;0;true;manually_confirmed;1622850600000;1622875680000;1622857800000;1622882880000;1622850000000;1622883540000;;;0;3720;14040;6300;1020;true;false
1622926500000;4405865;2021-06-06;29520;0;true;manually_confirmed;1622926500000;1622957880000;1622933700000;1622965080000;1622937300000;1622969160000;;;0;9900;20160;0;1860;true;false
1623012420000;4405865;2021-06-07;27840;0;true;enhanced_confirmed_final;1623012420000;1623040560000;1623019620000;1623047760000;1623008520000;1623039300000;;;0;2340;18300;7200;300;true;false
1623100740000;4405865;2021-06-08;21120;0;true;enhanced_confirmed;1623100740000;1623124800000;1623107940000;1623132000000;1623098940000;1623138060000;;;0;2100;14640;4380;2940;true;false
1623186600000;4405865;2021-06-09;23820;0;true;enhanced_confirmed_final;1623186600000;1623211620000;1623193800000;1623218820000;1623180540000;1623205800000;;;0;1320;16740;5760;1200;true;false
1623278700000;4405865;2021-06-10;15420;0;true;enhanced_confirmed_final;1623278700000;1623295140000;1623285900000;1623302340000;1623272820000;1623294360000;;;0;1020;14220;180;1020;true;false
1623360720000;4405865;2021-06-11;40260;0;true;auto_confirmed_final;1623360720000;1623401160000;1623367920000;1623408360000;1623360720000;1623401160000;;;0;27480;12780;0;180;true;false
1623444840000;4405865;2021-06-12;27240;0;true;manually_confirmed;1623444840000;1623474960000;1623452040000;1623482160000;1623462840000;1623478560000;;;180;3360;18780;5100;2700;true;false
1623532380000;4405865;2021-06-13;28500;0;true;enhanced_confirmed_final;1623532380000;1623561840000;1623539580000;1623569040000;1623532260000;1623565020000;;;0;2460;15420;10620;960;true;false
1623618660000;4405865;2021-06-14;23160;0;true;enhanced_confirmed_final;1623618660000;1623643620000;1623625860000;1623650820000;1623616260000;1623643560000;;;0;2760;15900;4500;1800;true;false
1623702240000;4405865;2021-06-15;19320;0;true;enhanced_confirmed_final;1623702240000;1623721560000;1623709440000;1623728760000;1623701340000;1623726060000;;;0;3900;10500;4920;0;true;false
1623789120000;4405865;2021-06-16;25560;0;true;enhanced_confirmed;1623789120000;1623816000000;1623796320000;1623823200000;1623788520000;1623813060000;;;0;5040;15180;5340;1320;true;false
1623879540000;4405865;2021-06-17;23160;0;true;enhanced_confirmed;1623879540000;1623902700000;1623886740000;1623909900000;1623877920000;1623897240000;;;0;2640;14340;6180;0;true;false
1623962520000;4405865;2021-06-18;38820;0;true;auto_confirmed_final;1623962520000;1624002060000;1623969720000;1624009260000;1623962520000;1624002060000;;;0;19620;19200;0;720;true;false
1624078320000;4405865;2021-06-19;14340;0;false;off_wrist;1624078320000;1624092660000;1624085520000;1624099860000;;;;;0;0;0;0;0;true;false
1624134600000;4405865;2021-06-20;30600;0;false;unconfirmed;1624134600000;1624165200000;1624141800000;1624172400000;;;;;;;;;;true;false
1624214880000;4405865;2021-06-21;31800;0;true;enhanced_confirmed_final;1624214880000;1624248420000;1624222080000;1624255620000;1624217400000;1624241460000;;;0;3180;22740;5880;1740;true;false
1624307100000;4405865;2021-06-22;23640;0;true;enhanced_confirmed_final;1624307100000;1624331340000;1624314300000;1624338540000;1624305060000;1624331340000;;;0;3000;13560;7080;600;true;false
1624396020000;4405865;2021-06-23;25980;0;true;enhanced_confirmed_final;1624396020000;1624422360000;1624403220000;1624429560000;1624390440000;1624419780000;;;0;900;18180;6900;360;true;false
1624483980000;4405865;2021-06-24;24120;0;true;enhanced_confirmed;1624483980000;1624508100000;1624491180000;1624515300000;1624483740000;1624524900000;;;0;3660;16440;4020;0;true;false
1624567800000;4405865;2021-06-25;22560;0;true;enhanced_confirmed_final;1624567800000;1624590780000;1624575000000;1624597980000;1624562520000;1624590120000;;;0;3480;12420;6660;420;true;false
1624657080000;4405865;2021-06-26;25140;0;true;enhanced_confirmed_final;1624657080000;1624682700000;1624664280000;1624689900000;1624656360000;1624680060000;;;0;2760;17040;5340;480;true;false
1624735020000;4405865;2021-06-27;21240;0;false;off_wrist;1624735020000;1624756260000;1624742220000;1624763460000;;;;;0;0;0;0;0;true;false
1624825740000;4405865;2021-06-28;28800;0;true;enhanced_confirmed_final;1624825740000;1624854840000;1624832940000;1624862040000;1624824960000;1624854660000;;;0;2340;15540;10920;300;true;false
1624917900000;4405865;2021-06-29;38160;0;false;off_wrist;1624917900000;1624956060000;1624925100000;1624963260000;;;;;0;0;0;0;0;true;false
1624997100000;4405865;2021-06-30;27300;0;true;enhanced_confirmed;1624997100000;1625025300000;1625004300000;1625032500000;1624995240000;1625035200000;;;0;3900;17460;5940;900;true;false
1625086740000;4405865;2021-07-01;24480;0;true;enhanced_confirmed_final;1625086740000;1625112000000;1625093940000;1625119200000;1625085660000;1625109960000;;;0;3060;17160;4260;780;true;false
1625174760000;4405865;2021-07-02;27840;0;true;enhanced_confirmed;1625174760000;1625203080000;1625181960000;1625210280000;1625171280000;1625203560000;;;0;1740;19260;6840;480;true;false
1625261340000;4405865;2021-07-03;29280;0;true;enhanced_confirmed_final;1625261340000;1625290740000;1625268540000;1625297940000;1625261520000;1625282460000;;;0;3540;22380;3360;120;true;false
1625347080000;4405865;2021-07-04;30060;0;true;enhanced_confirmed;1625347080000;1625377620000;1625354280000;1625384820000;1625342100000;1625381160000;;;0;240;21720;8100;480;true;false
1625434860000;4405865;2021-07-05;25260;0;true;enhanced_confirmed_final;1625434860000;1625460900000;1625442060000;1625468100000;1625433180000;1625458620000;;;0;840;14880;9540;780;true;false
1625522340000;4405865;2021-07-06;21600;0;true;enhanced_confirmed_final;1625522340000;1625544000000;1625529540000;1625551200000;1625521560000;1625544840000;;;0;1500;13320;6780;60;true;false
