startGMT;endGMT;steps;primaryActivityLevel;activityLevelConstant
2021-05-19T22:00:00.0;2021-05-19T22:15:00.0;0;sleeping;true
2021-05-19T22:15:00.0;2021-05-19T22:30:00.0;9;sleeping;true
2021-05-19T22:30:00.0;2021-05-19T22:45:00.0;0;sleeping;true
2021-05-19T22:45:00.0;2021-05-19T23:00:00.0;0;sleeping;true
2021-05-19T23:00:00.0;2021-05-19T23:15:00.0;0;sleeping;true
2021-05-19T23:15:00.0;2021-05-19T23:30:00.0;0;sleeping;true
2021-05-19T23:30:00.0;2021-05-19T23:45:00.0;0;sleeping;true
2021-05-19T23:45:00.0;2021-05-20T00:00:00.0;0;sleeping;true
2021-05-20T00:00:00.0;2021-05-20T00:15:00.0;0;sleeping;true
2021-05-20T00:15:00.0;2021-05-20T00:30:00.0;0;sleeping;true
2021-05-20T00:30:00.0;2021-05-20T00:45:00.0;0;sleeping;true
2021-05-20T00:45:00.0;2021-05-20T01:00:00.0;0;sleeping;true
2021-05-20T01:00:00.0;2021-05-20T01:15:00.0;0;sleeping;true
2021-05-20T01:15:00.0;2021-05-20T01:30:00.0;0;sleeping;true
2021-05-20T01:30:00.0;2021-05-20T01:45:00.0;0;sleeping;true
2021-05-20T01:45:00.0;2021-05-20T02:00:00.0;0;sleeping;true
2021-05-20T02:00:00.0;2021-05-20T02:15:00.0;0;sleeping;true
2021-05-20T02:15:00.0;2021-05-20T02:30:00.0;0;sleeping;true
2021-05-20T02:30:00.0;2021-05-20T02:45:00.0;0;sleeping;true
2021-05-20T02:45:00.0;2021-05-20T03:00:00.0;0;sleeping;true
2021-05-20T03:00:00.0;2021-05-20T03:15:00.0;0;sleeping;true
2021-05-20T03:15:00.0;2021-05-20T03:30:00.0;0;sleeping;true
2021-05-20T03:30:00.0;2021-05-20T03:45:00.0;0;sleeping;true
2021-05-20T03:45:00.0;2021-05-20T04:00:00.0;29;sleeping;false
2021-05-20T04:00:00.0;2021-05-20T04:15:00.0;73;sedentary;true
2021-05-20T04:15:00.0;2021-05-20T04:30:00.0;0;sedentary;true
2021-05-20T04:30:00.0;2021-05-20T04:45:00.0;0;sedentary;true
2021-05-20T04:45:00.0;2021-05-20T05:00:00.0;0;sedentary;true
2021-05-20T05:00:00.0;2021-05-20T05:15:00.0;0;sedentary;true
2021-05-20T05:15:00.0;2021-05-20T05:30:00.0;0;sedentary;true
2021-05-20T05:30:00.0;2021-05-20T05:45:00.0;0;sedentary;true
2021-05-20T05:45:00.0;2021-05-20T06:00:00.0;0;sedentary;true
2021-05-20T06:00:00.0;2021-05-20T06:15:00.0;0;sedentary;true
2021-05-20T06:15:00.0;2021-05-20T06:30:00.0;0;sedentary;true
2021-05-20T06:30:00.0;2021-05-20T06:45:00.0;0;sedentary;true
2021-05-20T06:45:00.0;2021-05-20T07:00:00.0;0;sedentary;true
2021-05-20T07:00:00.0;2021-05-20T07:15:00.0;0;sedentary;true
2021-05-20T07:15:00.0;2021-05-20T07:30:00.0;0;sedentary;true
2021-05-20T07:30:00.0;2021-05-20T07:45:00.0;0;sedentary;true
2021-05-20T07:45:00.0;2021-05-20T08:00:00.0;0;sedentary;true
2021-05-20T08:00:00.0;2021-05-20T08:15:00.0;0;sedentary;true
2021-05-20T08:15:00.0;2021-05-20T08:30:00.0;0;sedentary;true
2021-05-20T08:30:00.0;2021-05-20T08:45:00.0;0;sedentary;true
2021-05-20T08:45:00.0;2021-05-20T09:00:00.0;0;sedentary;true
2021-05-20T09:00:00.0;2021-05-20T09:15:00.0;0;sedentary;true
2021-05-20T09:15:00.0;2021-05-20T09:30:00.0;0;sedentary;true
2021-05-20T09:30:00.0;2021-05-20T09:45:00.0;0;sedentary;true
2021-05-20T09:45:00.0;2021-05-20T10:00:00.0;0;sedentary;true
2021-05-20T10:00:00.0;2021-05-20T10:15:00.0;0;sedentary;true
2021-05-20T10:15:00.0;2021-05-20T10:30:00.0;0;sedentary;true
2021-05-20T10:30:00.0;2021-05-20T10:45:00.0;0;sedentary;true
2021-05-20T10:45:00.0;2021-05-20T11:00:00.0;0;sedentary;true
2021-05-20T11:00:00.0;2021-05-20T11:15:00.0;0;sedentary;true
2021-05-20T11:15:00.0;2021-05-20T11:30:00.0;0;sedentary;true
2021-05-20T11:30:00.0;2021-05-20T11:45:00.0;0;sedentary;true
